client_id,profil,montant_total,nb_transactions,montant_moyen,recommendation_1,recommendation_2,recommendation_3,recommendation_alert,recommandation_type
4c6c733a-7b0d-4637-bc70-25f3ea4a807d,VIP (Clients Premium),16868.66,454,37.16,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
46fb6f58-7e18-4832-8783-c18bfe110a38,VIP (Clients Premium),7575.0,6,1262.5,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
ea5ddd7e-ed00-4776-843b-3f965d4e2fdf,VIP (Clients Premium),7523.8,20,376.19,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
f1089146-ff2d-49e6-9ce6-fee462c86da5,VIP (Clients Premium),6297.11,104,60.55,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
8d267304-1697-489a-a98e-2eed1be8da2d,VIP (Clients Premium),5790.27,205,28.25,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
14ff2535-d350-4086-beab-87be00fdcf83,VIP (Clients Premium),5067.64,34,149.05,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
72d8ed66-c260-4a5c-98e2-53f1e2e4dee0,VIP (Clients Premium),5007.0,9,556.33,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
49533960-c252-4519-b97c-5f418c447fec,VIP (Clients Premium),5003.5,2,2501.75,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
b7f85bbf-3449-40a2-bbf4-5ad57ac53bc8,VIP (Clients Premium),4941.59,210,23.53,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
5ff8f893-0da2-41e9-8526-d633da2c19d2,VIP (Clients Premium),4816.7,218,22.09,Programme fidelite VIP - Cashback majore,Offres exclusives partenaires premium,Conseiller dedie 24/7,Maintenez votre statut VIP avec plus de 5000 TND/mois,premium
