agent_id,nb_transactions,montant_total,montant_moyen,nb_clients_servis,profil_agent
01fea448-85c7-4327-a83b-eb9b0b8fa872,904,1122754.69,1241.99,14,Agent Premium (Top performer)
040c39e0-7af5-4a72-bf9d-4a026fdf3da1,20,67.0,3.35,1,Agent Occasionnel (Standard)
07143d9f-fb9d-4dfb-80cc-82137686f1e8,43,24252.39,564.01,3,Agent Occasionnel (Standard)
079708bc-5dc8-4e4a-be2e-09f4b861e1d7,18,5273.12,292.95,2,Agent Occasionnel (Standard)
0f9b801f-9f33-4b50-a701-478065d84212,67,817196.46,12196.96,10,Agent Occasionnel (Gros montants)
156186f1-73da-49d8-bf90-1152e145b719,37,377.45,10.2,2,Agent Occasionnel (Standard)
180f0e8f-37fe-4f75-a219-e586513a3ca7,12279,22095122.56,1799.42,675,Agent Premium (Top performer)
1f6123b4-eb3e-466c-92a0-efd539cf2589,8,69.1,8.64,1,Agent Occasionnel (Standard)
1fb6167a-9046-4b78-b65a-3d456445f65c,13,5050.4,388.49,5,Agent Occasionnel (Standard)
23bf8a7f-8137-4581-aafc-21cd374a54c5,15,238.96,15.93,2,Agent Occasionnel (Standard)
251826fb-9021-4f09-a078-6122e8028ef3,1339,529615.83,395.53,97,Agent Premium (Top performer)
276b62e3-1b0e-48bf-b3cb-97648f4bb7b0,17,1489.21,87.6,8,Agent Occasionnel (Standard)
34a7a732-bcee-46ea-a06c-e16056ee69c0,187,853486.84,4564.1,1,Agent Occasionnel (Gros montants)
3e29f454-f7a6-4ea9-b0c7-83ad1759b6f2,1707,545342.66,319.47,1,Agent Premium (Top performer)
409db488-45d9-46f8-ba90-8b7c93fd7a13,660,167706.06,254.1,1,Agent Actif (Multi-transactions)
4425758d-89ca-4550-b3d0-52c52f214af0,160,18994.47,118.72,4,Agent Occasionnel (Standard)
48abd4d3-395f-49af-98a2-ea7802afa48a,29,5224.3,180.15,6,Agent Occasionnel (Standard)
49dadf85-0643-47a6-986a-1b7811ab39a6,7736,3483984.66,450.36,463,Agent Premium (Top performer)
4e42d8f7-d3ab-48d7-949a-84c2a2c458cf,7,605.51,86.5,4,Agent Occasionnel (Standard)
54a9a8d2-c6f9-47dd-ab6f-af2f133f4b69,1,650.0,650.0,1,Agent Occasionnel (Standard)
597248e5-f5e7-49f8-b8af-d8da0ec81b78,545,534084.12,979.97,4,Agent Premium (Top performer)
5ad34f60-2ddb-40da-a39a-cf38013b524a,3,30001.0,10000.33,2,Agent Occasionnel (Standard)
5d3e7a29-52eb-44cb-b529-cd411d9975c1,625,101790.68,162.87,64,Agent Actif (Multi-transactions)
660e5e80-0971-4a83-bafb-044a0ef65960,353,1840452.13,5213.75,52,Agent Occasionnel (Gros montants)
66f67f9a-0146-46ef-954e-147d0147ab33,79,7800.06,98.73,7,Agent Occasionnel (Standard)
6718131f-3c79-4549-84c2-5a8f6ae7869c,7,106.51,15.22,4,Agent Occasionnel (Standard)
6843263d-17d0-42b8-917e-8a85b2a52432,35,363050.98,10372.89,1,Agent Occasionnel (Standard)
68698811-ad92-47b7-af0d-ed61566ba3d6,199,45339.32,227.84,2,Agent Occasionnel (Standard)
8f59dcec-eedc-4b91-a0bb-04cbef02b92f,93,507734.02,5459.51,3,Agent Occasionnel (Gros montants)
9256bed5-a048-43e3-8bcc-ebbd016d3143,4252,11835326.32,2783.47,170,Agent Premium (Top performer)
946e9242-66f2-4631-af76-1fb4a1b8511b,6,210.0,35.0,1,Agent Occasionnel (Standard)
94d48887-7a51-4cae-9acc-abc409bd4c1a,367,45478.29,123.92,19,Agent Occasionnel (Standard)
9576e699-bbf2-4212-8026-145ca691eea6,7,57.67,8.24,3,Agent Occasionnel (Standard)
9e477670-d0e8-42e4-bc3f-7e15e2752474,82,16791.39,204.77,9,Agent Occasionnel (Standard)
9fe26027-e138-4228-b8dc-b12632bbb734,36,1535.75,42.66,2,Agent Occasionnel (Standard)
a99c1dff-a9c3-4378-878d-69adf1c481bd,77,3772.67,49.0,4,Agent Occasionnel (Standard)
af5afccc-6e50-4695-a7f6-1974af6bad85,1399,246096.64,175.91,27,Agent Actif (Multi-transactions)
b45e0789-0964-42bf-92e6-f7e5a6e53561,52,17964.54,345.47,1,Agent Occasionnel (Standard)
b4b4be22-2ac4-438e-b748-eea927f6c3dd,180,21531.52,119.62,9,Agent Occasionnel (Standard)
b5e3b9a0-ca9f-44d5-a6c6-206e8d34cf35,520,137687.7,264.78,45,Agent Actif (Multi-transactions)
b605244d-56ab-4fc4-95ad-3b7ba4369564,78,20888.84,267.81,1,Agent Occasionnel (Standard)
b7e5ee25-5cb3-4e63-9b7c-46a033c56cb1,417,446937.95,1071.79,1,Agent Occasionnel (Gros montants)
be08373e-b365-471f-b290-f6b5d8d6d402,8,141.63,17.7,2,Agent Occasionnel (Standard)
ca48e84b-a2ca-4d5c-b557-27b413db79b9,33,6238.37,189.04,8,Agent Occasionnel (Standard)
da75b0c2-a2c1-4ca3-b7de-c3d927646078,1308,8006955.51,6121.53,4,Agent Premium (Top performer)
daa2d22d-1a64-465d-856d-9b1f82afaab7,12,5563.4,463.62,1,Agent Occasionnel (Standard)
e270f901-ac7d-4c28-a486-b6a6f1d82a6d,4,1005.26,251.32,3,Agent Occasionnel (Standard)
e86ee13e-a9e4-4f01-b069-44d7b8158c19,6266,4444993.97,709.38,509,Agent Premium (Top performer)
ebeefd52-9bb8-414b-8700-f504a1e12e39,81,6531.18,80.63,12,Agent Occasionnel (Standard)
edcd20b5-b44a-4630-854f-e5dbd84a7911,80,10759.17,134.49,7,Agent Occasionnel (Standard)
f651bc11-e36d-4947-b698-97b8d481dd50,87,1907.0,21.92,2,Agent Occasionnel (Standard)
f934d9fc-c386-4f40-8bc2-e21ce0b39e3c,640,20962.77,32.75,63,Agent Actif (Multi-transactions)
ff45cacc-1484-41f8-ab5c-3cc3fafcb989,18,3408.0,189.33,4,Agent Occasionnel (Standard)
